claim_id	claim_kind	paper_claim_or_observation	pdf_locator	paper_evidence	our_check	claim_ceiling
CA-11	FORMAL	Contract partitions Vagent/Venv; assumption only over Venv, guarantee over V	p4 Def4	OutHas/In/Perm environment examples; Call/ArgHas/Cnt agent examples	SOURCE-CHECKED-LOCAL	Other agents are modeled as environment; not full MAS semantics
CA-12	AUTHORING	LLM can propose formulas from natural language, deterministic grounding follows, human reviews back-translation	p4 sec5.1; p8 Limitations	Authoring pipeline and explicit human inspection	SOURCE-CHECKED-LOCAL	Not a proof of faithful automatic NL-to-policy translation
CA-13	CONSTRUCTION	One contract has separate assumption and guarantee DFA; counters remain outside automata	p4 sec5.1 Automaton construction	Alphabet predicate valuations; per-event grounding	SOURCE-CHECKED-LOCAL	The paper also reports residual-formula progression at runtime
CA-14	CONSTRUCTION	Library checks consistency/compatibility and joint satisfiability; extracts unsat core if needed	p4 sec5.1 Contract library; p6 sec6	Uses CHASE mus2muc Z3 per author	SOURCE-CHECKED-LOCAL	Tools and libraries not installed or run here
CA-15	ONLINE	Proposed calls are gated before execution; return/input events failing environment assumptions are suppressed	p5 sec5.2 Runtime enforcement	Rejected event is not recorded in monitored prefix	SOURCE-CHECKED-LOCAL	A return can follow an already side-effecting tool call; no rollback guarantee
CA-16	COMPLEXITY	Authors describe incremental per-event O(number of contracts) independent of trace length	p5 sec5.2 Runtime enforcement	Residual progression explanation	SOURCE-CHECKED-LOCAL	Treat as paper claim under implementation and predicate-cost assumptions
CA-17	OFFLINE	Fixed recorded traces are replayed without intervention; with same grounding/library online/offline agree per prefix	pp5-6 sec5.2 Offline evaluation	Uses mu(tau)=v(tau)	SOURCE-CHECKED-LOCAL	Offline full trace is not identical to an online trace after blocks
CA-18	SOPBENCH	Table2 reports base 91/32 and ContrAgent 90/98 mean success/safety percent; +0.135s median extra task runtime	p6 sec6.1 Table2	Seven domains; 40 tasks/domain; gemini-2.5-flash	AUTHOR-RESULT-TABLE-VISUALLY-CHECKED	Author trials not rerun; success/safety denominators differ; not per-call latency
CA-19	SOPBENCH	Authors report weak-base-model unchanged 98 percent safety and per-bin success at least 77 and safety at least 89	p6 sec6.1; pp12-13 Appendix D Table7	Different base model and 1-17 constraints	AUTHOR-RESULT-SOURCE-CHECKED	Do not infer identical task success or universal policy coverage
CA-20	AGENTDOJO	Pooled 22-model ASR 18.0 to 5.3 percent no-detector; 1.7 percent trace-learned; respective FP 0.8 and 0.3 percent	p7 sec6.2 Fig5	Author analysis of recorded evaluations	AUTHOR-RESULT-SOURCE-CHECKED	Different population/protocol from gpt-4o Table3
CA-21	AGENTDOJO	GPT-4o Table3 baseline ASR 47.7; no-detector 11.1; trace-learned 0.79; 0.16ms per-call for two variants	p7 Table3 and surrounding text	Only ContrAgent rows measured here; others from benchmark publication	AUTHOR-RESULT-TABLE-VISUALLY-CHECKED	Paper says recorded runs replayed; not a live deployment A/B test
CA-22	AGENTDOJO	Authors attribute 82 percent of missed attacks to no malicious tool call and 18 percent to legitimate call arguments	p7 sec6.2	Two missed classes described in text	AUTHOR-ANALYSIS-SOURCE-CHECKED	This split concerns missed attacks in their setup, not all attacks
CA-23	RJUDGE	571 records (301 unsafe/270 safe); F1 91.8 precision 97.0 recall 87.0; semantic residual misses	p7 sec6.3	Author evaluation and limitation	AUTHOR-RESULT-SOURCE-CHECKED	Not all content harm becomes a checkable tool-call predicate
CA-24	TAU2	4464-trace matrix; Claude 3.7 outcome pass4 25-60 percent but joint4 zero across three domains	p8 sec6.4 Fig6; p13 Table9	Outcome/procedure joint cells checked	AUTHOR-RESULT-TABLE-VISUALLY-CHECKED	Joint metric depends on authored contract library and retry protocol
CA-25	LATENCY	Appendix Table8 reports workload-specific p50/p95/p99 hot-path latencies in milliseconds	p13 Appendix E Table8	SOPBench p50=.097ms; AgentDojo p50=.162ms; tau2 p50=.828ms	AUTHOR-RESULT-TABLE-VISUALLY-CHECKED	Not interchangeable with Table2 task runtime overhead
CA-26	LIMITATION	Human inspects contracts; observation channel/counters trusted; free-form semantic harms require another check	p8 Limitations	Explicit author limitations	SOURCE-CHECKED-LOCAL	Do not claim verified safety or sound NL autoformalization
CA-27	APPENDIX	Four temporal classes exceed stateless per-call guard expressiveness on authors' constructed traces	p11 Appendix B Table5	Order/history/count/untrusted-read classes	AUTHOR-CONSTRUCTED-EXAMPLE	Not a proof that every stateless external guard fails in all settings
CA-28	GROUNDING	Oracle ablation of 5435 unsafe SOPBench traces reports recall 75.1 to 75.4 percent (+.3 pp)	p12 Appendix C	Per-author source of residual gaps described as contract coverage	AUTHOR-RESULT-SOURCE-CHECKED	Does not validate semantic sensors or future observation channels
CA-29	ARTIFACT	Author paper footnote names a public code repository	p6 footnote 1	PDF contains linked URL	SOURCE-CHECKED-PDF-ONLY	Repository URL availability/content/license/commit not checked
CA-30	PRIOR-WORK	Section2 comparisons to AgentSpec Agent-C VeriGuard FORGE etc are author positioning	p2 sec2	Paper related-work summary	AUTHOR-FRAMING-ONLY	Original cited papers not independently compared here
CA-31	FUTURE	Authors propose reward machines/constrained decoding and contract-based multi-agent decomposition as future work	p8 sec7 Conclusion	Explicitly labeled future research directions	SOURCE-CHECKED-LOCAL	No such system or result is established here
CA-32	ONLINE	After satisfied trigger author proposes prompted next action; pending unbounded eventuality is surfaced only at session end	p5 sec5.2 Runtime enforcement	Example G(trig -> X tool); G(trig -> F resp) remains pending on finite prefix	SOURCE-CHECKED-LOCAL	A live recommendation is not a proof of eventual response
CA-33	TRANSFER	Authors call policy library model agnostic for agents sharing tool interface	p4 sec5.1 Contract library; p6 sec6.1 weak-model comparison	Library checkers are not tied to LLM internals	AUTHOR-CLAIM-SOURCE-CHECKED	Sharing names is insufficient if call fields/host instrumentation differ
CA-34	INTERVENTION	Contract strategy may block redirect to safe alternative or escalate to human, returning structured explanation	p5 sec5.2 Runtime enforcement	Per-violated-contract policy strategy	SOURCE-CHECKED-LOCAL	No proof all redirect/escalate choices preserve utility or effects
CA-35	SOPBENCH_LIMIT	Healthcare non-retry and university outcome metric explain author-reported residual success/safety gaps	p6 sec6.1 after Table2	Author residual gap interpretation	AUTHOR-ANALYSIS-SOURCE-CHECKED	Not independently checked on recorded case trajectories
CA-36	RJUDGE_LIMIT	Authors say AgentAuditor outperforms their R-Judge result using retrieval plus Gemini judge	p7 sec6.3	Author comparator description	AUTHOR-FRAMING-ONLY	Comparator code and evaluation protocol not independently inspected
