ID	Claim	Source	Source_Type	As_Of	Evidence_Level	Counterevidence_Search	Verdict	Downstream_Contamination
L11	LoopX dossier file:line citations (goal_policy.py:63-66/54-100, handoff_mode.py:6-9, task_lease.py:356-455, contract.py:129-141, delivery_contract.py:78-95, task_lease_acquire_decision.ts:128-160/310-384) are accurate	08_重点拆解__huangruiteng__loopx...md:64-117	AGENT_GENERATED	2026-09-19	SOURCE FACT (verified against local full clone)	Performed: located full LoopX clone at receipts/repos/loopx/ (4555 files) and sed'd every cited line range; all 8 citations match cited content exactly, including the "legacy split-brain by design" admission and the substring-match destructive-command denylist	VERIFIED	None — this dossier is more rigorous than its own local receipts/sources/loopx/ folder suggested at first glance (that folder only has 3 unrelated files; citations actually point to receipts/repos/loopx/ full clone, a provenance-hygiene gap, not a fabrication)
L12	Prime-Agent dossier citation repl.py:1027-1036 (host_reply bypasses FIFO queue) is accurate	04_试点标杆__PrimeIntellect-ai__prime-agent...md:57	AGENT_GENERATED	2026-09-19	SOURCE FACT	Performed: sed -n '1020,1040p' receipts/sources/prime-agent/repl.py — exact match including the comment "Bypass the FIFO queue: the awaiting cell IS the in-flight execute..."	VERIFIED	None
L13	main branch was kept clean via feature-branch isolation during Headroom purge work	git-branch-and-review-protocol.md (memory), user directive "以后单开git分支"	FEEDBACK/RULE	2026-09-20	N/A (process claim, not content claim)	Performed: git reflog show main and show feature/moraine-companion-integration — all 4 purge/audit commits (573b114, 7902344, 59b8faf, 8effd36, ea91ab5) are ON main; feature branch was created FROM ea91ab5 (i.e., after main was already committed to)	CONTRADICTED	Rule was stated but not actually followed for this work; origin/main not yet pushed past 7902344 (recoverable)
L14	"CleanAgent 红蓝对抗自检" (commit 59b8faf) constitutes independent cross-model review per user's Gemini-vs-Claude/GPT division of labor	commit 59b8faf message; deleted RED_TEAM_AUDIT_REPORT.md	AGENT_GENERATED	2026-09-20	SOURCE FACT (recovered from git history)	Performed: git show ea91ab5~1:.../RED_TEAM_AUDIT_REPORT.md recovers full text; model matrix explicitly states "leon-agy/gemini-3.8-flash-high (Red) vs vasi-agy/gemini-pro-agent[1M] (Blue)"	CONTRADICTED	The self-review nearly reintroduced the already-debunked CodeCompressor/LogCrusher fabrication as a "fix mandate" before a later commit purged it again
L15	孙猛 (Sun Meng) current research profile has been properly reconstructed with recent (2023-2026) evidence per RESEARCH_AGENT_CONSTRAINT_v1.0.md §3	(no single file claims this directly; implied by NEXT_PHASE_EXECUTION_PLAN bridge-building framing)	AGENT_GENERATED	2026-09-19/20	UNSOURCED	Performed: grepped whole repo for 孙猛/sun_meng; only substantive file is 01_进组总计划_OE1_材料交付/README_进组急用.md itself which self-labels J05 as UNSOURCED; referenced historical dossier path phase0/sun_meng/ (from CHANGELOG.md:448) does not exist in current tree	UNKNOWN / UNVERIFIED — profile does not currently exist, cannot be graded CURRENT CORE / ACTIVE SECONDARY / LEGACY / HISTORICAL because there is no dossier to grade	09_ NEXT_PHASE_EXECUTION_PLAN implicitly assumes a bridge target that has no reconstructed profile behind it
L16	Advisor name "孙猛" unambiguously refers to one person across all repo mentions	PROJECT_HOME.md:51 (repo's own decision record)	SOURCE_FACT (repo admits the risk itself)	unspecified	SOURCE FACT (of the ambiguity existing, not of resolution)	Performed: repo itself flags "Jun Sun(SMU)/孙猛(PKU,ReGA)/Meng Sun(PKU) 三分 vs 两人合并" as an open decision, DEC-LU-U4-SUN-NAMING	UNRESOLVED — repo already knows this is unresolved, not a new finding	Any downstream doc that treats "孙猛" as a single unambiguous identity inherits this open risk
L17	RESEARCH_AGENT_CONSTRAINT_v1.0.md functions as a binding global parent constraint for all research subagents	File's own header text	AGENT_GENERATED	2026-09-20	N/A (governance claim)	Performed: git log --all -- RESEARCH_AGENT_CONSTRAINT_v1.0.md returns empty — file was never committed	CONTRADICTED — file exists only as an untracked working-tree file, invisible to any fresh clone/branch/session	Any future session relying on "the constraint file will bind agents" is wrong until it is committed
L18	receipts/BATCH_METADATA_RECEIPT.json star counts (e.g. K-Dense-AI/scientific-agent-skills = 45,581 stars) are live GitHub API captures	receipts/BATCH_METADATA_RECEIPT.json:12-19	SOURCE_FACT (per file's own structure)	2026-09-19T12:16:23Z (embedded timestamp)	SOURCE FACT (internally consistent, has timestamps + branch + license fields matching typical GH API shape)	Not independently re-fetched against live GitHub in this audit (out of scope; no reason to doubt the receipt's internal structure)	NOT_SEARCHED — plausible but not independently re-verified this round	None
L19	MULTI_AGENT_PARALLEL_SPECIFICATION.md P02 gloss "SBTPN: Symbolic Bounded Petri Net" is accurate	docs/MULTI_AGENT_PARALLEL_SPECIFICATION.md:103	AGENT_GENERATED	2026-09-19	FABRICATED	Performed (2nd round): read 03_鲁组其他论文与研究谱系/01_SBTPN/论文原文与拆解/teardown-joint-20260813/01_SBTPN.md:1-3; real title = "A New Knowledge Mining and Root Cause Analysis Methodology for Multivariate Time Series" (Wang/Lu/Zhou/Zeng, IEEE/CAA JAS 2026, DOI 10.1109/JAS.2026.125837); mechanism is probabilistic PN+BN with catalytic/inhibitory synergy arcs for industrial RCA, not "Symbolic Bounded" anything	CONTRADICTED	Upgrades L03's "UNVERIFIED" footnote in AUDIT_FINDINGS P0-2 to CONTAMINATED; same file, same table, now 4/4 real-paper rows misdescribed
L20	MULTI_AGENT_PARALLEL_SPECIFICATION.md P03 gloss "PNULOCK: Petri Net Unlock Analyzer" is accurate	docs/MULTI_AGENT_PARALLEL_SPECIFICATION.md:104	AGENT_GENERATED	2026-09-19	UNSOURCED (topic class right, term fabricated)	Performed (2nd round): read 03_鲁组其他论文与研究谱系/02_PNULOCK/论文原文与拆解/teardown-joint-20260813/02_DEADLOCK_PNULOCK.md:1-3; real title = "Petri Net Unfolding-based Detection and Replay of Program Deadlocks" (Lu/Lv/Cui/Bao/Zeng, IEEE Access 2024, DOI 10.1109/ACCESS.2024.3384489); topic (PN deadlock detection) roughly right but "Unlock Analyzer" term does not appear anywhere in source; real mechanism keywords are "unfolding" + "replay"	PARTIALLY VERIFIED (topic class) / CONTRADICTED (specific term)	Same as L19 — completes the 4/4 misdescription finding
L21	03_鲁组其他论文与研究谱系/08_导师画像_谱系_团队/ contains a Sun-Meng-specific mentor dossier	directory tree under 08_导师画像_谱系_团队/	SOURCE_FACT (directory structure)	committed at a4d942a (initial commit), predates this audit	RECONSTRUCTION	Performed: found + read KICKOFF.md, BRIEF.md, EX-01_鲁法明画像v0.md, INDEX_时���倒序.tsv; primary training subject is Lu Faming (current advisor), Sun Meng appears only as optional EX-04 transfer-validation target ("死线紧则 Agent 代做孙猛素材"); sealed answer file 孙猛_PKU_2024-2026_学术产出审计.md is referenced but lives outside this repo (D:\Code\_archive / MAS repo), confirmed absent via repo-wide find; EX-01 blind-write template confirmed fully blank (30 lines, all 6 section bodies empty), Amendment A1 explicitly notes this blank is preserved, not backfilled	CONFIRMED ABSENT (content) / EXISTS (methodology scaffold only, unexecuted)	Refines P2-1 in AUDIT_FINDINGS.md — original "profile does not exist" verdict stands, but this directory (missed in 1st-round audit) should be checked before any future profile-rebuild task to avoid duplicating an already-designed-but-unexecuted training path
